trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-125.91890537333987,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.98}",25,0,-101.03422271253528,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.97}",25,0,-96.31806054545632,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96}",25,0,-122.17948126725928,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.95}",25,0,-113.84990988043383,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.94}",30,0,-213.1526536044195,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-89.06987845933361,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-101.48997292552664,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",30,0,-199.58686616389753,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-157.28426866865306,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-29.29323786366362,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-91.76570301232663,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-85.3139223696173,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,6,-41.69545964988667,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,10,-8.649497044608342,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-70.621623156138,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-90.662740935425,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,15,7.447356966310546,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-110.00000916310148,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-126.88071179480445,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",1
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-88.33458419770628,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,5,-130.47818039250106,"{0: 6, 1: 3, 2: 4, 3: 0, 4: 2}",1
