trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-195.7855044963012,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.98}",30,0,-89.93572969115637,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.97}",25,5,-54.60503655151838,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-108.38843083577335,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.95}",25,5,-55.28723046755374,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-64.75129674978449,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-135.3801311693022,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-86.29953746098255,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-160.94965585263807,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-152.28947774185522,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-33.15681228071172,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-103.92122127864988,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-62.224397016471976,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,0,-92.61036756681814,"{0: 20, 1: 6, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-104.42225948456073,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,9,-35.67673177658622,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-29.4559452015739,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",35,0,-115.22494368751543,"{0: 23, 1: 7, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,9,-29.07561382677415,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-155.96540127293994,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,4,-32.2231257804732,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,10,3.522704101374359,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-62.50647525828655,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",35,0,-42.32321246041416,"{0: 26, 1: 4, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,1,-101.74784523634433,"{0: 26, 1: 4, 2: 1, 3: 1, 4: 2}",1
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",30,0,-204.53218178360953,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,2,-43.75278282627938,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-121.35314726312839,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-27.823582475380068,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,9,-4.283389443667351,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,8,-103.76327008754518,"{0: 10, 1: 0, 2: 4, 3: 2, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-22.809358280909553,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-85.92913848942729,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,14,-34.477592098905575,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-25.712689203949044,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,3,-157.90040476488008,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 3}",1
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,1,-89.47308749138163,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 2}",1
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-50.07275907967051,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,0,-37.89032819563643,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-63.166357003010184,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,3,16.384643622103507,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",30,4,-124.71573719890736,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 2}",1
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,0,-64.82537785569033,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,0,-44.3337447756646,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-47.536738368555476,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,0,-117.29361729060795,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",30,16,-25.50995776634708,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,11,-77.61733850680976,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,0,-97.6715909185065,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,15,-13.051112847630876,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,9,-15.681549558455155,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,0,-26.03464815850811,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",30,16,-15.622904335830643,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,0,-57.5363038257597,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",30,10,-31.438615847787773,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,0,6.439122834042663,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,0,8.080708079253638,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,0,-14.095023392180316,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,-20.848808166793237,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,0,-76.1231011682456,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",35,12,-17.39094218279309,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",30,13,-3.4872417972745646,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,8,-90.99111209305313,"{0: 12, 1: 0, 2: 1, 3: 3, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,20,10.676554913070879,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,0,-25.09060293654182,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",30,20,-2.1305197235032347,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,10,17.78835590615362,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,5,-9.03405735650406,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,10,-23.76616482687151,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,11,18.42288484319493,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,13,25.052550827124847,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,8,21.80354104876074,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",30,13,-51.137980820244344,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,0,-25.417653404757203,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
