trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.74995622649601,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-129.99134145101655,"{0: 25, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-231.87168909544283,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-227.146898253985,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-273.31240521029713,"{0: 13, 1: 4, 2: 7, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,4,-74.43589250640834,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.07028501635736,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.91064655122378,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.76544879829496,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.02131872093112,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.8097062437256,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-4.990689904181937,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.26998213143193,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-208.94176340724528,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.25297775944713,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.35184564645752,"{0: 13, 1: 6, 2: 2, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.74849920319772,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.10312613411789,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,13,-25.59053913716937,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-191.83508852059944,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.84024692622066,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.25496031465315,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.7905822102348,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-205.55357296533055,"{0: 19, 1: 5, 2: 7, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,2,-108.51689935955754,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.87581685996392,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.29962053325961,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,9,-31.42996262734124,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.96935144083741,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-170.74731426971232,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
